,,,,,,
,Away_Team,Home_Team,Away_Score,Home_Score,,
,NYG,NO,6,24,,
,ATL,CAR,7,9,,
,WAS,LAR,20,28,,
,SF,ARI,45,29,,
,DAL,BUF,10,31,,
,BAL,JAX,23,7,,
,PHI,SEA,17,20,,
,NO,LAR,22,30,,
,CIN,PIT,11,34,,
,BUF,LAC,24,22,,
,IND,ATL,10,29,,
,SEA,TEN,20,17,,
,DL,MIN,30,24,,
,WAS,NYJ,28,30,,
,GB,CAR,33,30,,
,CLE,HOU,36,22,,
,JAX,TB,12,30,,
,ARI,CHI,16,27,,
,DAL,MIA,20,22,,
,NE,DEN,26,23,,
,LAV,KC,20,14,,
,NYG,PHI,25,33,,
,BAL,SF,33,19,,
,NYJ,CLE,20,37,,
,DL,DAL,19,21,,
,NE,BUF,21,27,,
,ATL,CHI,17,37,,
,LAV,IND,20,23,,
,LAR,NYG,26,25,,
,ARI,PHI,35,31,,
,NO,TB,23,13,,
,SF,WAS,27,10,,
,CAR,JAX,0,26,,
,MIA,BAL,19,56,,
,TEN,HOU,3,26,,
,PIT,SEA,30,23,,
,LAC,DEN,9,16,,
,CIN,KC,17,25,,
,GB,MIN,33,10,,
